t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6,dJ7,dJ8,dJ9,dJ10,dJ11,dJ12
6.666666666666666963e+00,2.370499372482299805e-01,-2.737843990325927734e-01,-3.451901376247406006e-01,8.736097216606140137e-01,2.832066118717193604e-01,6.589809060096740723e-01,-1.124940395355224609e+00,1.617347002029418945e+00,4.470967352390289307e-01,-7.239675521850585938e-01,-5.023945569992065430e-01,-2.557300627231597900e-01
6.767676767676767291e+00,2.203823626041412354e-01,-2.545339465141296387e-01,-3.209189772605895996e-01,8.121840357780456543e-01,2.632936239242553711e-01,6.126462817192077637e-01,-1.045843005180358887e+00,1.503627181053161621e+00,4.156602323055267334e-01,-6.730636358261108398e-01,-4.670699238777160645e-01,-2.377490550279617310e-01
6.868686868686868507e+00,2.000108659267425537e-01,-2.310055792331695557e-01,-2.912541925907135010e-01,7.371081113815307617e-01,2.389555722475051880e-01,5.560151338577270508e-01,-9.491683840751647949e-01,1.364636421203613281e+00,3.772378563880920410e-01,-6.108475923538208008e-01,-4.238953590393066406e-01,-2.157722413539886475e-01
6.969696969696969724e+00,1.759354770183563232e-01,-2.031993418931961060e-01,-2.561957836151123047e-01,6.483821272850036621e-01,2.101923674345016479e-01,4.890873432159423828e-01,-8.349165916442871094e-01,1.200374484062194824e+00,3.318295478820800781e-01,-5.373196005821228027e-01,-3.728708922863006592e-01,-1.897996366024017334e-01
7.070707070707070940e+00,1.481562256813049316e-01,-1.711152493953704834e-01,-2.157438695430755615e-01,5.460060834884643555e-01,1.770041286945343018e-01,4.118630886077880859e-01,-7.030878067016601562e-01,1.010841846466064453e+00,2.794354557991027832e-01,-4.524797797203063965e-01,-3.139966130256652832e-01,-1.598313152790069580e-01
7.171717171717171269e+00,1.166730150580406189e-01,-1.347532570362091064e-01,-1.698982715606689453e-01,4.299797415733337402e-01,1.393907368183135986e-01,3.243421614170074463e-01,-5.536815524101257324e-01,7.960379123687744141e-01,2.200554162263870239e-01,-3.563277721405029297e-01,-2.472722977399826050e-01,-1.258671432733535767e-01
7.272727272727272485e+00,8.148588985204696655e-02,-9.411336481571197510e-02,-1.186590790748596191e-01,3.003032505512237549e-01,9.735224395990371704e-02,2.265246212482452393e-01,-3.866981565952301025e-01,5.559628605842590332e-01,1.536894589662551880e-01,-2.488637864589691162e-01,-1.726980656385421753e-01,-8.790718019008636475e-02
7.373737373737373701e+00,4.259493201971054077e-02,-4.919565469026565552e-02,-6.202638149261474609e-02,1.569768041372299194e-01,5.088870972394943237e-02,1.184106841683387756e-01,-2.021378278732299805e-01,2.906171679496765137e-01,8.033772557973861694e-02,-1.300879865884780884e-01,-9.027405828237533569e-02,-4.595151543617248535e-02
7.474747474747474918e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
7.575757575757575246e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.676767676767676463e+00,-3.209096938371658325e-02,-2.815986238420009613e-02,7.473087310791015625e-02,-1.318961530923843384e-01,6.094812229275703430e-02,2.364786528050899506e-02,1.605390012264251709e-01,-1.999277025461196899e-01,-2.173541039228439331e-01,3.214079886674880981e-02,7.172181457281112671e-02,1.046907901763916016e-01
7.777777777777777679e+00,-6.139142438769340515e-02,-5.387104302644729614e-02,1.429634094238281250e-01,-2.523230910301208496e-01,1.165964156389236450e-01,4.523939639329910278e-02,3.071181178092956543e-01,-3.824703991413116455e-01,-4.158078730106353760e-01,6.148674339056015015e-02,1.372069567441940308e-01,2.002780437469482422e-01
7.878787878787878896e+00,-8.790136128664016724e-02,-7.713353633880615234e-02,2.046976089477539062e-01,-3.612807691097259521e-01,1.669448614120483398e-01,6.477458775043487549e-02,4.397372603416442871e-01,-5.476280450820922852e-01,-5.953612327575683594e-01,8.803784102201461792e-02,1.964554190635681152e-01,2.867617309093475342e-01
7.979797979797979224e+00,-1.116207689046859741e-01,-9.794734418392181396e-02,2.599334716796875000e-01,-4.587692320346832275e-01,2.119934856891632080e-01,8.225344121456146240e-02,5.583965182304382324e-01,-6.954007148742675781e-01,-7.560142278671264648e-01,1.117940768599510193e-01,2.494671791791915894e-01,3.641418814659118652e-01
8.080808080808081328e+00,-1.325496584177017212e-01,-1.163124665617942810e-01,3.086709678173065186e-01,-5.447884202003479004e-01,2.517422437667846680e-01,9.767596423625946045e-02,6.630958318710327148e-01,-8.257883191108703613e-01,-8.977668881416320801e-01,1.327554732561111450e-01,2.962422668933868408e-01,4.324184954166412354e-01
8.181818181818181657e+00,-1.506880372762680054e-01,-1.322289258241653442e-01,3.509101867675781250e-01,-6.193384528160095215e-01,2.861911952495574951e-01,1.110421568155288696e-01,7.538353204727172852e-01,-9.387909770011901855e-01,-1.020619273185729980e+00,1.509220153093338013e-01,3.367807269096374512e-01,4.915915429592132568e-01
8.282828282828281985e+00,-1.660359054803848267e-01,-1.456966847181320190e-01,3.866510689258575439e-01,-6.824192404747009277e-01,3.153403103351593018e-01,1.223520040512084961e-01,8.306148648262023926e-01,-1.034408569335937500e+00,-1.124571204185485840e+00,1.662937104701995850e-01,3.710824847221374512e-01,5.416610836982727051e-01
8.383838383838384090e+00,-1.785932332277297974e-01,-1.567157506942749023e-01,4.158934950828552246e-01,-7.340307235717773438e-01,3.391895294189453125e-01,1.316055059432983398e-01,8.934344053268432617e-01,-1.112641096115112305e+00,-1.209622740745544434e+00,1.788705289363861084e-01,3.991474807262420654e-01,5.826269984245300293e-01
