t,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
6.161616161616161769e+00,8.491302281618118286e-02,5.825247168540954590e-01,-4.158263206481933594e-01,4.551594257354736328e-01,-9.345980882644653320e-01,-9.416005015373229980e-01,-4.890341162681579590e-01,3.808453083038330078e-01,1.796616792678833008e+00,4.279809594154357910e-01,-2.186686545610427856e-01,-8.227797746658325195e-01
6.262626262626262097e+00,1.126280203461647034e-01,5.505148768424987793e-01,-4.561846256256103516e-01,5.572986006736755371e-01,-9.014866352081298828e-01,-8.645549416542053223e-01,-6.205579638481140137e-01,5.699394941329956055e-01,1.848889589309692383e+00,3.433373570442199707e-01,-2.774067521095275879e-01,-8.526787757873535156e-01
6.363636363636363313e+00,1.403429806232452393e-01,5.185050964355468750e-01,-4.965429306030273438e-01,6.594376564025878906e-01,-8.683751821517944336e-01,-7.875094413757324219e-01,-7.520816922187805176e-01,7.590334415435791016e-01,1.901162505149841309e+00,2.586938738822937012e-01,-3.361447453498840332e-01,-8.825777769088745117e-01
6.464646464646464530e+00,1.676721572875976562e-01,4.869408011436462402e-01,-5.363394618034362793e-01,7.601550221443176270e-01,-8.357246518135070801e-01,-7.115363478660583496e-01,-8.817746043205261230e-01,9.454952478408813477e-01,1.952707767486572266e+00,1.752285957336425781e-01,-3.940652012825012207e-01,-9.120604991912841797e-01
6.565656565656565746e+00,1.942296624183654785e-01,4.562678039073944092e-01,-5.750123262405395508e-01,8.580284714698791504e-01,-8.039960861206054688e-01,-6.377084851264953613e-01,-1.007805585861206055e+00,1.126692295074462891e+00,2.002797365188598633e+00,9.412002563476562500e-02,-4.503501653671264648e-01,-9.407108426094055176e-01
6.666666666666666963e+00,2.196296751499176025e-01,4.269316792488098145e-01,-6.119995713233947754e-01,9.516361355781555176e-01,-7.736503481864929199e-01,-5.670983791351318359e-01,-1.128343343734741211e+00,1.299991607666015625e+00,2.050704002380371094e+00,1.654660701751708984e-02,-5.041819214820861816e-01,-9.681124687194824219e-01
6.767676767676767291e+00,2.434864640235900879e-01,3.993779122829437256e-01,-6.467396616935729980e-01,1.039556503295898438e+00,-7.451483011245727539e-01,-5.007783174514770508e-01,-1.241557836532592773e+00,1.462762117385864258e+00,2.095700025558471680e+00,-5.631387233734130859e-02,-5.547431111335754395e-01,-9.938492178916931152e-01
6.868686868686868507e+00,2.654140889644622803e-01,3.740522861480712891e-01,-6.786704659461975098e-01,1.120367288589477539e+00,-7.189511060714721680e-01,-4.398211240768432617e-01,-1.345617294311523438e+00,1.612370014190673828e+00,2.137057304382324219e+00,-1.232823133468627930e-01,-6.012156605720520020e-01,-1.017504811286926270e+00
6.969696969696969724e+00,2.850268185138702393e-01,3.514002859592437744e-01,-7.072303891181945801e-01,1.192646980285644531e+00,-6.955195665359497070e-01,-3.852993249893188477e-01,-1.438690900802612305e+00,1.746183872222900391e+00,2.174048662185668945e+00,-1.831810474395751953e-01,-6.427821516990661621e-01,-1.038663029670715332e+00
7.070707070707070940e+00,3.019387125968933105e-01,3.318676352500915527e-01,-7.318572998046875000e-01,1.254972934722900391e+00,-6.753146648406982422e-01,-3.382855653762817383e-01,-1.518947839736938477e+00,1.861570596694946289e+00,2.205945968627929688e+00,-2.348310947418212891e-01,-6.786245703697204590e-01,-1.056907653808593750e+00
7.171717171717171269e+00,3.157640695571899414e-01,3.158998489379882812e-01,-7.519896626472473145e-01,1.305924177169799805e+00,-6.587973833084106445e-01,-2.998521327972412109e-01,-1.584557056427001953e+00,1.955898284912109375e+00,2.232021808624267578e+00,-2.770547866821289062e-01,-7.079254388809204102e-01,-1.071822404861450195e+00
7.272727272727272485e+00,3.261169791221618652e-01,3.039426207542419434e-01,-7.670655250549316406e-01,1.344078063964843750e+00,-6.464285850524902344e-01,-2.710717916488647461e-01,-1.633687734603881836e+00,2.026534318923950195e+00,2.251548290252685547e+00,-3.086732625961303711e-01,-7.298670411109924316e-01,-1.082991123199462891e+00
7.373737373737373701e+00,3.326116800308227539e-01,2.964414358139038086e-01,-7.765230536460876465e-01,1.368013381958007812e+00,-6.386693120002746582e-01,-2.530169486999511719e-01,-1.664508819580078125e+00,2.070846557617187500e+00,2.263797998428344727e+00,-3.285086154937744141e-01,-7.436316609382629395e-01,-1.089997768402099609e+00
7.474747474747474918e+00,3.348623216152191162e-01,2.938420176506042480e-01,-7.798004150390625000e-01,1.376307725906372070e+00,-6.359804272651672363e-01,-2.467603683471679688e-01,-1.675189495086669922e+00,2.086202144622802734e+00,2.268042802810668945e+00,-3.353822231292724609e-01,-7.484015822410583496e-01,-1.092425704002380371e+00
7.575757575757575246e+00,3.348623216152191162e-01,2.938420474529266357e-01,-7.798004150390625000e-01,1.376307725906372070e+00,-6.359804272651672363e-01,-2.467603385448455811e-01,-1.675189614295959473e+00,2.086202144622802734e+00,2.268042802810668945e+00,-3.353822529315948486e-01,-7.484015822410583496e-01,-1.092425704002380371e+00
7.676767676767676463e+00,3.331666886806488037e-01,2.923541367053985596e-01,-7.758517861366271973e-01,1.369338631629943848e+00,-6.327600479125976562e-01,-2.455108314752578735e-01,-1.666707038879394531e+00,2.075638294219970703e+00,2.256558179855346680e+00,-3.336839973926544189e-01,-7.446119189262390137e-01,-1.086894035339355469e+00
7.777777777777777679e+00,3.282735943794250488e-01,2.880604267120361328e-01,-7.644571065902709961e-01,1.349227547645568848e+00,-6.234669089317321777e-01,-2.419050931930541992e-01,-1.642228722572326660e+00,2.045154094696044922e+00,2.223417043685913086e+00,-3.287833034992218018e-01,-7.336760759353637695e-01,-1.070931196212768555e+00
7.878787878787878896e+00,3.204737007617950439e-01,2.812160253524780273e-01,-7.462933659553527832e-01,1.317169547080993652e+00,-6.086531281471252441e-01,-2.361573576927185059e-01,-1.603208780288696289e+00,1.996560692787170410e+00,2.170587778091430664e+00,-3.209713101387023926e-01,-7.162436842918395996e-01,-1.045485496520996094e+00
7.979797979797979224e+00,3.100576996803283691e-01,2.720759809017181396e-01,-7.220374345779418945e-01,1.274358987808227539e+00,-5.888707637786865234e-01,-2.284817993640899658e-01,-1.551101446151733398e+00,1.931668639183044434e+00,2.100039720535278320e+00,-3.105391263961791992e-01,-6.929644346237182617e-01,-1.011505246162414551e+00
8.080808080808081328e+00,2.973162531852722168e-01,2.608953416347503662e-01,-6.923661828041076660e-01,1.221990823745727539e+00,-5.646718740463256836e-01,-2.190926223993301392e-01,-1.487360954284667969e+00,1.852289080619812012e+00,2.013741016387939453e+00,-2.977778911590576172e-01,-6.644878983497619629e-01,-9.699387550354003906e-01
8.181818181818181657e+00,2.825400829315185547e-01,2.479292303323745728e-01,-6.579566001892089844e-01,1.161259651184082031e+00,-5.366084575653076172e-01,-2.082040309906005859e-01,-1.413441181182861328e+00,1.760233044624328613e+00,1.913661122322082520e+00,-2.829787731170654297e-01,-6.314638257026672363e-01,-9.217342138290405273e-01
8.282828282828281985e+00,2.660198211669921875e-01,2.334326803684234619e-01,-6.194855570793151855e-01,1.093360185623168945e+00,-5.052326917648315430e-01,-1.960302442312240601e-01,-1.330796599388122559e+00,1.657311320304870605e+00,1.801768302917480469e+00,-2.664328515529632568e-01,-5.945417881011962891e-01,-8.678399324417114258e-01
8.383838383838384090e+00,2.480461597442626953e-01,2.176607698202133179e-01,-5.776299238204956055e-01,1.019487142562866211e+00,-4.710965752601623535e-01,-1.827854216098785400e-01,-1.240881204605102539e+00,1.545334815979003906e+00,1.680031657218933105e+00,-2.484312951564788818e-01,-5.543715357780456543e-01,-8.092042207717895508e-01
8.484848484848484418e+00,2.289097905158996582e-01,2.008685767650604248e-01,-5.330666899681091309e-01,9.408353567123413086e-01,-4.347522258758544922e-01,-1.686838269233703613e-01,-1.145149230957031250e+00,1.426114797592163086e+00,1.550419807434082031e+00,-2.292652130126953125e-01,-5.116026401519775391e-01,-7.467753887176513672e-01
